Lambda_0,Lambda_1,TI_dF,TI_Error,MBAR_dF,MBAR_Error
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,2.471508276661734,0.0667107654345432,0.2573040877174799,0.02225622451536888
0.0,0.2,4.936997498466811,0.10365709414786402,0.5103134549002082,0.04496967973686754
0.0,0.3,7.327930062697698,0.13330750085441995,0.7587597482216326,0.06807287572558886
0.0,0.4,9.47787246765663,0.1891511051482359,1.0024636297462939,0.09146803731433144
0.0,0.5,11.262587881962494,0.256807315267816,1.2413311586096878,0.11503220157740307
0.0,0.6,12.773667982969055,0.3075399240656031,1.4753985341728368,0.1386146729675812
0.0,0.7,12.388315933354448,0.47187250382836743,1.7048185883366593,0.16204483651160556
0.0,0.8,8.592255542042842,0.8001863878468749,1.9298675003414356,0.18514011243261452
0.0,0.9,4.376286543287767,1.0075577180710753,2.1509456715980853,0.2077182738023856
0.0,1.0,2.992669187455768,1.0312500106035212,2.3685504371528507,0.2296041368818528
0.1,0.0,-2.471508276661734,0.0667107654345432,2.5832708642271665,0.250645598708015
0.1,0.1,0.0,0.0,2.7957509682610473,0.2707163432574503
0.1,0.2,2.4654892218050763,0.053982434935327867,3.0066592987777105,0.2897251869644067
0.1,0.3,4.8564217860359635,0.09970055114400792,3.216674818603334,0.3076135431079679
0.1,0.4,7.006364190994897,0.1671749104775198,3.426440043628222,0.32435740916800676
0.1,0.5,8.791079605300762,0.24107946260399538,3.6365562604315462,0.33996075239830326
0.1,0.6,10.302159706307322,0.2945337247390266,3.8475488565222014,0.35445535002787154
0.1,0.7,9.916807656692717,0.463500776680709,4.05985696561207,0.3678908171794795
0.1,0.8,6.120747265381111,0.7952782943157679,4.27381384286205,0.3803349731141804
0.1,0.9,1.9047782666260327,1.0036642194274736,4.489634117176226,0.3918664559385652
0.1,1.0,0.5211609107940349,1.0274462976156613,4.707401238352905,0.4025739228325194
0.2,0.0,-4.936997498466811,0.10365709414786402,4.927060206983636,0.41255451750729877
0.2,0.1,-2.4654892218050763,0.053982434935327867,5.1483946671124565,0.42191520592056814
0.2,0.2,0.0,0.0,5.371033437286027,0.43077500394077634
0.2,0.3,2.390932564230887,0.06766279416745818,5.594434932442903,0.4392714528884569
0.2,0.4,4.5408749691898205,0.15028474476571343,5.817898932916121,0.44756704895645155
0.2,0.5,6.325590383495684,0.2296897061375631,6.040577099231146,0.45585977235638375
0.2,0.6,7.836670484502245,0.28528611747642674,6.261507896740858,0.46438642210025605
0.2,0.7,7.451318434887639,0.45768004522783085,6.47966214839595,0.47342516947800783
0.2,0.8,3.6552580435760333,0.7919000058251838,6.694011474039745,0.4832794336574249
0.2,0.9,-0.5607109551790446,1.0009894700620425,6.903604348167573,0.4942471253598198
0.2,1.0,-1.9443283110110432,1.024833619813606,7.107656378144619,0.5065720795265453
0.3,0.0,-7.327930062697698,0.13330750085441995,7.3056138157905925,0.5203901616682783
0.3,0.1,-4.8564217860359635,0.09970055114400792,7.497207362593449,0.5356847715903185
0.3,0.2,-2.390932564230887,0.06766279416745818,7.682469886926655,0.5522732864571025
0.3,0.3,0.0,0.0,7.861705165157296,0.569831110236208
0.3,0.4,2.149942404958933,0.10629480828326661,8.035434244387563,0.5879467506200523
0.3,0.5,3.934657819264797,0.2036429298164826,8.204316780401914,0.606190709030313
0.3,0.6,5.445737920271359,0.2647664075812004,8.369056792504939,0.6241796501977294
0.3,0.7,5.060385870656752,0.44517873439600647,8.530328294674398,0.641619838475974
0.3,0.8,1.2643254793451466,0.7847411681469291,8.68869936748301,0.6583295805521537
0.3,0.9,-2.9516435194099313,0.9953356222570201,8.844589224256548,0.6742399962206584
0.3,1.0,-4.33526087524193,1.0193120376307443,8.998232646523402,0.6893840338573406
0.4,0.0,-9.47787246765663,0.1891511051482359,9.149670974583863,0.7038769795543808
0.4,0.1,-7.006364190994897,0.1671749104775198,9.298750659613454,0.7178958906096198
0.4,0.2,-4.5408749691898205,0.15028474476571343,9.445128902504447,0.7316581072242196
0.4,0.3,-2.149942404958933,0.10629480828326661,9.588293372970767,0.7453989713147573
0.4,0.4,0.0,0.0,9.727582480799832,0.7593536594596784
0.4,0.5,1.7847154143058641,0.11951296409629823,9.862217029201204,0.7737373196182499
0.4,0.6,3.2957955153124256,0.20715732259878372,9.991342613717329,0.7887292431804611
0.4,0.7,2.9104434656978198,0.4135178488061577,10.114066642101097,0.8044599860409418
0.4,0.8,-0.8856169256137867,0.7672233095438701,10.22950789244273,0.8210029010267551
0.4,0.9,-5.101585924368864,0.9815833671454564,10.336827999855647,0.838370220881122
0.4,1.0,-6.485203280200864,1.0058876357634494,10.435250406832225,0.8565119718266699
0.5,0.0,-11.262587881962494,0.256807315267816,10.524050843494376,0.8753170150420889
0.5,0.1,-8.791079605300762,0.24107946260399538,10.602519399462619,0.8946180205913523
0.5,0.2,-6.325590383495684,0.2296897061375631,10.669901552068048,0.9141973760903616
0.5,0.3,-3.934657819264797,0.2036429298164826,10.725342423545374,0.9337971733122877
0.5,0.4,-1.7847154143058641,0.11951296409629823,10.76784821689369,0.9531333211310576
0.5,0.5,0.0,0.0,10.796281486354555,0.9719110946072681
0.5,0.6,1.5110801010065613,0.12630367593316003,10.809391609628822,0.9898422284244193
0.5,0.7,1.1257280513919554,0.37952005682072254,10.805841090980671,1.0066610079594185
0.5,0.8,-2.670332339919651,0.7494465084016212,10.784208266453707,1.0221395818788508
0.5,0.9,-6.886301338674729,0.967752224954582,10.742906684923675,1.036098286812778
0.5,1.0,-8.269918694506726,0.9923952831557162,10.680043080048861,1.0484137832500635
0.6,0.0,-12.773667982969055,0.3075399240656031,10.593313602350385,1.0590241122470012
0.6,0.1,-10.302159706307322,0.2945337247390266,10.480033134879495,1.067936492363792
0.6,0.2,-7.836670484502245,0.28528611747642674,10.337427862595348,1.0752394149739164
0.6,0.3,-5.445737920271359,0.2647664075812004,10.163155718144761,1.0811124323539143
0.6,0.4,-3.2957955153124256,0.20715732259878372,9.955806648329226,1.0858235916876564
0.6,0.5,-1.5110801010065613,0.12630367593316003,9.715051599466392,1.0897108002036942
0.6,0.6,0.0,0.0,9.441285791709625,1.0931583456040381
0.6,0.7,-0.3853520496146059,0.32993303416224196,9.13492743891154,1.0965796720412677
0.6,0.8,-4.181412440926212,0.7255965838244278,8.795917459597149,1.1003943185871041
0.6,0.9,-8.39738143968129,0.9494022869189027,8.423931019440989,1.104963771532436
0.6,1.0,-9.780998795513288,0.9745094825254461,8.01937003580461,1.1104678482152806
0.7,0.0,-12.388315933354448,0.47187250382836743,7.584628852817502,1.1167809751565254
0.7,0.1,-9.916807656692717,0.463500776680709,7.124826741550694,1.123473201716605
